Date,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10
28-01-2020,-0.010659849,0.002006496,-0.005464709,-0.011559007,-0.00605533,-0.007691748,0.004333479,-0.005884259,-0.00419986,-0.0100157
29-01-2020,0.003443493,0.003744962,0.009912691,0.008073517,0.011859045,0.00414646,0.011240606,0.009388356,0.004826073,7.61135E-05
30-01-2020,-0.010169086,-0.007098095,-0.011617181,-0.0095431,-0.003880072,-0.010076579,-0.01434044,-0.011261413,-0.022412867,-0.022991312
31-01-2020,-0.004947459,-0.007785412,-0.003509595,-0.017682601,-0.010441974,-0.013992782,-0.013358827,-0.006695615,-0.017532854,-0.001175335
03-02-2020,-0.028071894,-0.005269823,-0.025689444,-0.003616652,-0.021806748,-0.025361742,-0.011959055,-0.007395939,-0.006200584,-0.014065427
04-02-2020,0.028693909,0.014960267,0.020527169,0.026914263,0.025977891,0.010165651,0.019300524,0.015614378,0.017060265,0.017561582
05-02-2020,0.017675144,0.007892182,0.005724797,0.001107803,0.013713622,0.00148537,0.007690977,0.012193903,0.012258433,0.009636213
06-02-2020,0.011176414,-0.000674175,-0.000710512,0.002979456,0.010400537,0.005310455,0.009194277,0.005514909,0.003022053,0.004370833
07-02-2020,-0.010169778,-0.001290788,0.004256864,0.000619318,0.007897379,0.011225141,0.005377574,0.003320571,-0.001436856,0.011936896
10-02-2020,-0.00176902,0.000967208,-0.008425431,-0.007385377,-0.000426724,-0.011444415,-0.01641487,-0.001749667,-0.009154565,-0.002770053
11-02-2020,0.007582228,0.002382681,0.002608043,0.009732004,0.003206478,0.012739917,-0.00583864,0.001748014,-0.004651504,-0.019135112
12-02-2020,0.006475457,0.008253126,0.015757083,0.003834392,0.008993083,-1.95755E-05,0.004381416,-3.29201E-05,0.004487528,-0.003547312
13-02-2020,-0.003186956,0.00145563,0.004540608,0.000208521,0.004779498,-0.010501591,0.002441768,-0.005864412,-0.00469487,-0.0003922
14-02-2020,0.000623823,-0.005560094,-0.01332879,-0.011702465,-0.009706924,-0.01290597,-0.004075793,-0.007133299,-0.008395488,-0.015285381
17-02-2020,-0.007885034,0.0019027,-0.007182255,-0.003877399,-0.019295382,-0.022843261,-0.005316138,-0.005173122,-0.007570797,-0.011882968
18-02-2020,-0.008433653,0.001841995,-0.008316696,-0.00417052,0.001159161,-0.004521909,-0.004558293,-0.001114414,-0.002857428,-0.016035645
19-02-2020,0.013739429,0.002040912,0.026617392,0.013314508,0.01247514,0.01672618,0.015083509,0.013867914,0.016579613,0.009423406
20-02-2020,-0.001506372,-0.006964052,-0.007889554,-0.005990757,0.002703156,-0.002365364,-0.00382836,-0.004304414,-0.001247605,-0.008945826
21-02-2020,0,0,0,0,0,0,0,0,0,0
24-02-2020,-0.022592368,-0.018039216,-0.024618462,-0.02661366,-0.023046279,-0.025009934,-0.022849569,-0.012038892,-0.012453429,-0.016441127
25-02-2020,-0.005289357,0.00469924,-0.003004384,-0.003513995,-0.011231796,-0.005597733,-0.004598613,0.000226243,-0.003725788,-0.009587253
26-02-2020,-0.008288239,-0.013651946,-0.007740127,-0.003842634,-0.006885876,-0.016830274,-0.012026365,-0.006965754,-0.015756387,-0.029968136
27-02-2020,-0.006563,-0.002848344,0.006929543,-0.003464681,-0.014094173,-0.002773349,-0.005828075,0.002837079,-0.006892424,0.001244403
28-02-2020,-0.035564222,-0.044890738,-0.026417471,-0.03877909,-0.039969688,-0.02989062,-0.030748613,-0.035251873,-0.034650576,-0.043479945
02-03-2020,-0.007148158,-0.007276504,-0.006473286,-0.01540762,-0.005552331,-0.01123933,-0.009370645,0.003081042,-0.003498825,-0.005186304
03-03-2020,0.011567693,0.017392224,0.008907656,0.026355819,0.023302921,0.025862634,0.026834979,0.016007252,0.020774765,0.022361198
04-03-2020,-0.01142162,0.001130869,-0.00439786,0.002419197,-0.003536576,0.001612116,-0.00085339,0.004268169,0.002162364,-0.018179096
