Date,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10
28-01-2020,-0.003143997,-0.009927029,-0.003553864,-0.010745287,-0.004166438,-0.01715603,0.00828674,-0.003170182,-0.001570329,-0.021986037
29-01-2020,0.002993441,0.014604189,0.003595371,0.007220409,0.002979324,0.011102527,0.005938977,0.004355993,0.009873382,-0.009231726
30-01-2020,-0.009692777,-0.006846173,-0.00769408,-0.010061879,-0.011455464,-0.011116774,-0.012599136,-0.0216506,-0.025785048,-0.024129587
31-01-2020,-0.00695874,-0.009616524,-0.009676022,0.000412584,-0.006500453,-0.020605392,-0.017856239,-0.013022422,-0.011126096,-0.001431351
03-02-2020,-0.01815741,-0.003793348,-0.01807944,-0.009523717,-0.027789897,-0.015076901,-0.043727373,-0.012977645,-0.030063529,-0.041323591
04-02-2020,0.020910469,0.020433628,0.027318194,0.012392582,0.017137916,0.023549126,0.033439011,0.01918022,0.02508959,0.009572472
05-02-2020,0.011122314,0.005436111,0.010821497,-0.003670766,0.012829098,0.021944095,0.012860002,0.011853006,0.02888427,0.015057589
06-02-2020,0.000550438,0.009900795,0.005711035,0.009574435,0.010409184,-0.000469641,0.005682135,0.008462683,0.017562369,0.018683857
07-02-2020,-0.004465721,-0.000177529,0.006832998,0.003735442,-0.00583371,-0.003996363,0.015264122,-0.002193286,0.011079837,0.008053407
10-02-2020,0.001144679,-0.003882307,-0.004615642,-0.004015669,-0.018799419,-0.016380887,-0.013348155,-0.006652323,-0.010083452,-0.007500017
11-02-2020,0.004810857,0.004767179,0.003084827,0.004666905,0.000137969,0.012235317,-0.008654779,-0.001232121,-0.000575179,-0.003768943
12-02-2020,0.012249983,0.006669238,0.002751605,0.000489526,0.007140835,0.000330705,0.003742429,-0.00610091,-0.00308966,-0.018072956
13-02-2020,0.001019517,-0.00301137,0.001815258,-0.010221087,-0.001855601,0.003492833,0.000251253,-0.00060249,-0.002512202,-0.004129587
14-02-2020,-0.005361612,0.003313403,-0.011082058,-0.01151671,-0.010281727,-0.013543995,-0.013366452,-0.014464473,0.001149016,-0.03157583
17-02-2020,-0.003507036,-0.004290633,-0.015625312,-0.011127718,-0.009754326,-0.002938258,-0.012720241,-0.015902196,-0.011767319,-0.017574168
18-02-2020,-0.001782595,-0.010363136,0.005171987,-0.004168293,-0.003342747,-0.005669725,-0.017964627,-0.009536006,-0.00362996,-0.02243138
19-02-2020,0.011838831,0.008814897,0.015468987,0.00822498,0.014514844,0.008249215,0.013085245,0.020631861,0.036274709,0.027715873
20-02-2020,-0.007736898,-0.001546795,-0.003043259,-0.000978043,-0.002225806,-0.003523475,0.000749054,-0.00612957,0.007158015,0.016727766
21-02-2020,0,0,0,0,0,0,0,0,0,0
24-02-2020,-0.018110264,-0.024169782,-0.018721985,-0.016643157,-0.029976543,-0.030212763,-0.035414788,-0.009034728,-0.030791268,-0.022214704
25-02-2020,0.00020616,-0.000544194,-0.007465495,-0.00851003,-0.002428209,-0.012061117,-0.003826773,-0.00165241,-0.013497872,-0.011151099
26-02-2020,-0.009763572,-0.008092733,-0.010898985,-0.00878658,-0.013309635,-0.014609727,-0.018318036,-0.010936214,-0.018600242,-0.020209063
27-02-2020,-0.004023539,-0.003007003,-0.003461514,0.007078172,-0.005831059,0.001557035,-0.01273903,-0.011437936,-0.005585066,-0.015640514
28-02-2020,-0.038571963,-0.033368626,-0.025075408,-0.033648727,-0.035852378,-0.053308426,-0.043969024,-0.035534302,-0.04066812,-0.051105294
02-03-2020,-0.004434151,-0.008683164,-0.013669116,-0.002225753,-0.001751822,-0.023084361,-0.021268747,-0.007202553,-0.004121646,0.001035238
03-03-2020,0.010742691,0.015220272,0.027404006,0.016038867,0.02159443,0.032500639,0.029756361,0.025969274,0.028389671,0.027138785
04-03-2020,-0.002713552,-0.006437909,-0.001028697,-0.001047538,0.000786241,-0.004150133,-0.004921974,-0.003952376,-0.009130129,-0.026794947
